"filename", "language", "HTML", "JSON with Comments", "JavaScript", "Markdown", "JSON", "Vue", "TypeScript", "XML", "SCSS", "comment", "blank", "total"
"c:\Work\2024\riva3_website\README.md", "Markdown", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Work\2024\riva3_website\index.html", "HTML", 71, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 82
"c:\Work\2024\riva3_website\jsconfig.json", "JSON with Comments", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"c:\Work\2024\riva3_website\package-lock.json", "JSON", 0, 0, 0, 0, 8052, 0, 0, 0, 0, 0, 1, 8053
"c:\Work\2024\riva3_website\package.json", "JSON", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 1, 39
"c:\Work\2024\riva3_website\postcss.config.cjs", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 9, 3, 28
"c:\Work\2024\riva3_website\public\images\adb.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Work\2024\riva3_website\public\images\build-g.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Work\2024\riva3_website\public\images\dimension01.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 1, 18
"c:\Work\2024\riva3_website\public\images\dimension02.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 1, 20
"c:\Work\2024\riva3_website\public\images\dimension03.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"c:\Work\2024\riva3_website\public\images\dimension04.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Work\2024\riva3_website\public\images\dimension05.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Work\2024\riva3_website\public\images\dimension06.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"c:\Work\2024\riva3_website\public\images\dimension07.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"c:\Work\2024\riva3_website\public\images\dimicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 1, 81
"c:\Work\2024\riva3_website\public\images\eco-g.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Work\2024\riva3_website\public\images\facebook.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Work\2024\riva3_website\public\images\facebookShare.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Work\2024\riva3_website\public\images\fealac.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Work\2024\riva3_website\public\images\footerRIVA.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Work\2024\riva3_website\public\images\icon00.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Work\2024\riva3_website\public\images\icon01.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Work\2024\riva3_website\public\images\icon02.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Work\2024\riva3_website\public\images\icon03.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Work\2024\riva3_website\public\images\in.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Work\2024\riva3_website\public\images\inShare.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Work\2024\riva3_website\public\images\intra-g.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Work\2024\riva3_website\public\images\right-arrow.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 42, 0, 1, 1, 44
"c:\Work\2024\riva3_website\public\images\strflowchart.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 1, 34
"c:\Work\2024\riva3_website\public\images\structure.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Work\2024\riva3_website\public\images\unescaplogo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Work\2024\riva3_website\public\images\x.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Work\2024\riva3_website\public\images\xShare.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Work\2024\riva3_website\public\json\tiledmap.json", "JSON", 0, 0, 0, 0, 2800, 0, 0, 0, 0, 0, 22, 2822
"c:\Work\2024\riva3_website\quasar.config.js", "JavaScript", 0, 0, 64, 0, 0, 0, 0, 0, 0, 96, 39, 199
"c:\Work\2024\riva3_website\src\App.vue", "Vue", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Work\2024\riva3_website\src\assets\countryAll.json", "JSON", 0, 0, 0, 0, 1006, 0, 0, 0, 0, 0, 1, 1007
"c:\Work\2024\riva3_website\src\assets\country_allcompare.json", "JSON", 0, 0, 0, 0, 1912, 0, 0, 0, 0, 0, 18, 1930
"c:\Work\2024\riva3_website\src\assets\quasar-logo-vertical.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 15
"c:\Work\2024\riva3_website\src\assets\tiledmap.json", "JSON", 0, 0, 0, 0, 2800, 0, 0, 0, 0, 0, 22, 2822
"c:\Work\2024\riva3_website\src\boot\axios.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 11, 6, 25
"c:\Work\2024\riva3_website\src\boot\socialSharing.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Work\2024\riva3_website\src\boot\vue-gtag.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 2, 12
"c:\Work\2024\riva3_website\src\components\EcoSelect.vue", "Vue", 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 9, 143
"c:\Work\2024\riva3_website\src\components\EcoSelect2.vue", "Vue", 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 9, 143
"c:\Work\2024\riva3_website\src\components\RI_disaggregation.vue", "Vue", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 7, 76
"c:\Work\2024\riva3_website\src\components\RI_header.vue", "Vue", 0, 0, 0, 0, 0, 380, 0, 0, 0, 2, 6, 388
"c:\Work\2024\riva3_website\src\components\SectorSelect.vue", "Vue", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 7, 87
"c:\Work\2024\riva3_website\src\components\VA_header.vue", "Vue", 0, 0, 0, 0, 0, 278, 0, 0, 0, 4, 11, 293
"c:\Work\2024\riva3_website\src\components\YearSelect.vue", "Vue", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 5, 75
"c:\Work\2024\riva3_website\src\components\footer.vue", "Vue", 0, 0, 0, 0, 0, 468, 0, 0, 0, 13, 7, 488
"c:\Work\2024\riva3_website\src\components\footer2.vue", "Vue", 0, 0, 0, 0, 0, 226, 0, 0, 0, 5, 7, 238
"c:\Work\2024\riva3_website\src\components\footerA.vue", "Vue", 0, 0, 0, 0, 0, 224, 0, 0, 0, 4, 7, 235
"c:\Work\2024\riva3_website\src\components\ri_buildyourown\datatab_dimension.vue", "Vue", 0, 0, 0, 0, 0, 1194, 0, 0, 0, 21, 51, 1266
"c:\Work\2024\riva3_website\src\components\ri_buildyourown\input_section.vue", "Vue", 0, 0, 0, 0, 0, 760, 0, 0, 0, 12, 65, 837
"c:\Work\2024\riva3_website\src\components\ri_buildyourown\linechart_by_dimension.vue", "Vue", 0, 0, 0, 0, 0, 1731, 0, 0, 0, 22, 108, 1861
"c:\Work\2024\riva3_website\src\components\ri_buildyourown\main_linechart.vue", "Vue", 0, 0, 0, 0, 0, 1660, 0, 0, 0, 14, 77, 1751
"c:\Work\2024\riva3_website\src\components\ri_buildyourown\ri_fourbar.vue", "Vue", 0, 0, 0, 0, 0, 70, 0, 0, 0, 4, 6, 80
"c:\Work\2024\riva3_website\src\components\ri_buildyourown\spiderweb.vue", "Vue", 0, 0, 0, 0, 0, 682, 0, 0, 0, 10, 30, 722
"c:\Work\2024\riva3_website\src\components\ri_dataavail\dimension_tabledata.vue", "Vue", 0, 0, 0, 0, 0, 263, 0, 0, 0, 10, 17, 290
"c:\Work\2024\riva3_website\src\components\ri_dataavail\indicator_tabledata.vue", "Vue", 0, 0, 0, 0, 0, 306, 0, 0, 0, 6, 22, 334
"c:\Work\2024\riva3_website\src\components\ri_dataavail\input_data.vue", "Vue", 0, 0, 0, 0, 0, 723, 0, 0, 0, 4, 47, 774
"c:\Work\2024\riva3_website\src\components\ri_dataavail\pair_tabledata.vue", "Vue", 0, 0, 0, 0, 0, 228, 0, 0, 0, 8, 14, 250
"c:\Work\2024\riva3_website\src\components\ri_dimension_icon.vue", "Vue", 0, 0, 0, 0, 0, 70, 0, 0, 0, 5, 9, 84
"c:\Work\2024\riva3_website\src\components\ri_eco_partner\datatab_dimension.vue", "Vue", 0, 0, 0, 0, 0, 1240, 0, 0, 0, 18, 59, 1317
"c:\Work\2024\riva3_website\src\components\ri_eco_partner\input_section.vue", "Vue", 0, 0, 0, 0, 0, 624, 0, 0, 0, 9, 43, 676
"c:\Work\2024\riva3_website\src\components\ri_eco_partner\linechart_by_dimension.vue", "Vue", 0, 0, 0, 0, 0, 1274, 0, 0, 0, 16, 80, 1370
"c:\Work\2024\riva3_website\src\components\ri_eco_partner\linechartbycountry.vue", "Vue", 0, 0, 0, 0, 0, 1642, 0, 0, 0, 15, 71, 1728
"c:\Work\2024\riva3_website\src\components\ri_eco_partner\ri_data_avail_circle.vue", "Vue", 0, 0, 0, 0, 0, 70, 0, 0, 0, 4, 7, 81
"c:\Work\2024\riva3_website\src\components\ri_eco_partner\ri_fourbar.vue", "Vue", 0, 0, 0, 0, 0, 70, 0, 0, 0, 4, 6, 80
"c:\Work\2024\riva3_website\src\components\ri_eco_partner\spiderweb.vue", "Vue", 0, 0, 0, 0, 0, 641, 0, 0, 0, 8, 37, 686
"c:\Work\2024\riva3_website\src\components\ri_economy_circle.vue", "Vue", 0, 0, 0, 0, 0, 71, 0, 0, 0, 2, 6, 79
"c:\Work\2024\riva3_website\src\components\ri_fourbar.vue", "Vue", 0, 0, 0, 0, 0, 21, 0, 0, 0, 2, 4, 27
"c:\Work\2024\riva3_website\src\components\ri_intragroup\datatab_dimension.vue", "Vue", 0, 0, 0, 0, 0, 1236, 0, 0, 0, 12, 53, 1301
"c:\Work\2024\riva3_website\src\components\ri_intragroup\input_section.vue", "Vue", 0, 0, 0, 0, 0, 439, 0, 0, 0, 3, 31, 473
"c:\Work\2024\riva3_website\src\components\ri_intragroup\linechart_by_country.vue", "Vue", 0, 0, 0, 0, 0, 1484, 0, 0, 0, 20, 84, 1588
"c:\Work\2024\riva3_website\src\components\ri_intragroup\linechart_by_dimension.vue", "Vue", 0, 0, 0, 0, 0, 1295, 0, 0, 0, 14, 74, 1383
"c:\Work\2024\riva3_website\src\components\ri_intragroup\ri_economuy_circle.vue", "Vue", 0, 0, 0, 0, 0, 427, 0, 0, 0, 4, 25, 456
"c:\Work\2024\riva3_website\src\components\ri_overview\TileMap.vue", "Vue", 0, 0, 0, 0, 0, 224, 0, 0, 0, 0, 14, 238
"c:\Work\2024\riva3_website\src\components\ri_overview\dim_chart.vue", "Vue", 0, 0, 0, 0, 0, 174, 0, 0, 0, 3, 11, 188
"c:\Work\2024\riva3_website\src\components\ri_overview\dim_lineleft.vue", "Vue", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 4, 78
"c:\Work\2024\riva3_website\src\components\ri_overview\dim_lineright.vue", "Vue", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 4, 78
"c:\Work\2024\riva3_website\src\components\ri_overview\line_chart.vue", "Vue", 0, 0, 0, 0, 0, 137, 0, 0, 0, 7, 11, 155
"c:\Work\2024\riva3_website\src\components\ri_overview\select_reporter.vue", "Vue", 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 9, 110
"c:\Work\2024\riva3_website\src\components\ri_select_desired_level.vue", "Vue", 0, 0, 0, 0, 0, 72, 0, 0, 0, 1, 11, 84
"c:\Work\2024\riva3_website\src\components\ri_tableintab.vue", "Vue", 0, 0, 0, 0, 0, 417, 0, 0, 0, 1, 6, 424
"c:\Work\2024\riva3_website\src\components\va_backward\backwardSector1.vue", "Vue", 0, 0, 0, 0, 0, 311, 0, 0, 0, 0, 17, 328
"c:\Work\2024\riva3_website\src\components\va_backward\backwardSector2.vue", "Vue", 0, 0, 0, 0, 0, 606, 0, 0, 0, 14, 30, 650
"c:\Work\2024\riva3_website\src\components\va_backward\backwardSource1.vue", "Vue", 0, 0, 0, 0, 0, 534, 0, 0, 0, 6, 20, 560
"c:\Work\2024\riva3_website\src\components\va_backward\backwardSource2.vue", "Vue", 0, 0, 0, 0, 0, 1072, 0, 0, 0, 3, 38, 1113
"c:\Work\2024\riva3_website\src\components\va_forward\forwardImport1.vue", "Vue", 0, 0, 0, 0, 0, 529, 0, 0, 0, 0, 18, 547
"c:\Work\2024\riva3_website\src\components\va_forward\forwardImport2.vue", "Vue", 0, 0, 0, 0, 0, 1074, 0, 0, 0, 2, 40, 1116
"c:\Work\2024\riva3_website\src\components\va_forward\forwardSector1.vue", "Vue", 0, 0, 0, 0, 0, 367, 0, 0, 0, 1, 27, 395
"c:\Work\2024\riva3_website\src\components\va_forward\forwardSector2.vue", "Vue", 0, 0, 0, 0, 0, 609, 0, 0, 0, 2, 34, 645
"c:\Work\2024\riva3_website\src\components\va_gvc\overview.vue", "Vue", 0, 0, 0, 0, 0, 167, 0, 0, 0, 0, 7, 174
"c:\Work\2024\riva3_website\src\components\va_gvc\top5partner.vue", "Vue", 0, 0, 0, 0, 0, 481, 0, 0, 0, 1, 26, 508
"c:\Work\2024\riva3_website\src\components\va_gvc\top5sector.vue", "Vue", 0, 0, 0, 0, 0, 501, 0, 0, 0, 0, 19, 520
"c:\Work\2024\riva3_website\src\components\va_participation\va_participation_graph1.vue", "Vue", 0, 0, 0, 0, 0, 366, 0, 0, 0, 20, 20, 406
"c:\Work\2024\riva3_website\src\components\va_str_value_added\va_str_graph1.vue", "Vue", 0, 0, 0, 0, 0, 453, 0, 0, 0, 1, 23, 477
"c:\Work\2024\riva3_website\src\components\va_str_value_added\va_str_graph2.vue", "Vue", 0, 0, 0, 0, 0, 235, 0, 0, 0, 1, 12, 248
"c:\Work\2024\riva3_website\src\components\va_str_value_added\va_str_graph3.vue", "Vue", 0, 0, 0, 0, 0, 368, 0, 0, 0, 18, 21, 407
"c:\Work\2024\riva3_website\src\css\app.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 33, 1, 1, 35
"c:\Work\2024\riva3_website\src\css\quasar.variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 7, 26
"c:\Work\2024\riva3_website\src\layouts\MainLayout.vue", "Vue", 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 11, 107
"c:\Work\2024\riva3_website\src\pages\BackwardLinkages.vue", "Vue", 0, 0, 0, 0, 0, 474, 0, 0, 0, 15, 14, 503
"c:\Work\2024\riva3_website\src\pages\BackwardLinkagesSource.vue", "Vue", 0, 0, 0, 0, 0, 481, 0, 0, 0, 13, 19, 513
"c:\Work\2024\riva3_website\src\pages\Countrybrief.vue", "Vue", 0, 0, 0, 0, 0, 156, 0, 0, 0, 1, 9, 166
"c:\Work\2024\riva3_website\src\pages\CountrybriefData.vue", "Vue", 0, 0, 0, 0, 0, 4007, 0, 0, 0, 95, 224, 4326
"c:\Work\2024\riva3_website\src\pages\Download.vue", "Vue", 0, 0, 0, 0, 0, 797, 0, 0, 0, 20, 28, 845
"c:\Work\2024\riva3_website\src\pages\ErrorNotFound.vue", "Vue", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 4, 30
"c:\Work\2024\riva3_website\src\pages\ForwardLinkages.vue", "Vue", 0, 0, 0, 0, 0, 370, 0, 0, 0, 10, 15, 395
"c:\Work\2024\riva3_website\src\pages\ForwardLinkagesImport.vue", "Vue", 0, 0, 0, 0, 0, 428, 0, 0, 0, 9, 16, 453
"c:\Work\2024\riva3_website\src\pages\GVCrelationships.vue", "Vue", 0, 0, 0, 0, 0, 264, 0, 0, 0, 7, 15, 286
"c:\Work\2024\riva3_website\src\pages\IndexPage.vue", "Vue", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"c:\Work\2024\riva3_website\src\pages\ParticipationInGVCs.vue", "Vue", 0, 0, 0, 0, 0, 378, 0, 0, 0, 11, 13, 402
"c:\Work\2024\riva3_website\src\pages\StructureOfValueAdded.vue", "Vue", 0, 0, 0, 0, 0, 396, 0, 0, 0, 13, 14, 423
"c:\Work\2024\riva3_website\src\pages\Welcome.vue", "Vue", 0, 0, 0, 0, 0, 204, 0, 0, 0, 10, 10, 224
"c:\Work\2024\riva3_website\src\pages\countryGroupList.js", "JavaScript", 0, 0, 1354, 0, 0, 0, 0, 0, 0, 0, 1, 1355
"c:\Work\2024\riva3_website\src\pages\countryName.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Work\2024\riva3_website\src\pages\ri_buildYourOwn.vue", "Vue", 0, 0, 0, 0, 0, 225, 0, 0, 0, 2, 26, 253
"c:\Work\2024\riva3_website\src\pages\ri_countrybrief.vue", "Vue", 0, 0, 0, 0, 0, 153, 0, 0, 0, 0, 8, 161
"c:\Work\2024\riva3_website\src\pages\ri_countrybrief2.vue", "Vue", 0, 0, 0, 0, 0, 3112, 0, 0, 0, 51, 222, 3385
"c:\Work\2024\riva3_website\src\pages\ri_dataAvail.vue", "Vue", 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 7, 97
"c:\Work\2024\riva3_website\src\pages\ri_download.vue", "Vue", 0, 0, 0, 0, 0, 200, 0, 0, 0, 4, 8, 212
"c:\Work\2024\riva3_website\src\pages\ri_ecopartner.vue", "Vue", 0, 0, 0, 0, 0, 261, 0, 0, 0, 1, 22, 284
"c:\Work\2024\riva3_website\src\pages\ri_intraGroup.vue", "Vue", 0, 0, 0, 0, 0, 162, 0, 0, 0, 4, 18, 184
"c:\Work\2024\riva3_website\src\pages\ri_overview.vue", "Vue", 0, 0, 0, 0, 0, 549, 0, 0, 0, 9, 52, 610
"c:\Work\2024\riva3_website\src\pages\ri_reloadpage.vue", "Vue", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 6, 23
"c:\Work\2024\riva3_website\src\pages\server.js", "JavaScript", 0, 0, 1354, 0, 0, 0, 0, 0, 0, 1, 1, 1356
"c:\Work\2024\riva3_website\src\router\index.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 11, 6, 31
"c:\Work\2024\riva3_website\src\router\routes.js", "JavaScript", 0, 0, 108, 0, 0, 0, 0, 0, 0, 4, 4, 116
"c:\Work\2024\riva3_website\src\stores\example-store.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Work\2024\riva3_website\src\stores\index.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 10, 5, 21
"c:\Work\2024\riva3_website\src\stores\store-flag.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 2, 11
"c:\Work\2024\riva3_website\vite.config.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"Total", "-", 71, 39, 2975, 21, 16608, 42098, 6, 402, 42, 796, 2474, 65532